,day,quota_daily,quota_daily_balance
268,2016-01-04,130.0,129.3702
269,2016-01-05,130.0,113.7884
270,2016-01-06,130.0,134.968
271,2016-01-07,130.0,129.7259
272,2016-01-08,130.0,127.0517
273,2016-01-11,130.0,134.5639
274,2016-01-12,130.0,136.3606
275,2016-01-13,130.0,128.0037
276,2016-01-14,130.0,130.2263
277,2016-01-15,130.0,131.0536
278,2016-01-18,130.0,126.1682
279,2016-01-19,130.0,123.9965
280,2016-01-20,130.0,135.93
281,2016-01-21,130.0,131.616
282,2016-01-22,130.0,123.8059
283,2016-01-25,130.0,127.5046
284,2016-01-26,130.0,132.3545
285,2016-01-27,130.0,85.1452
286,2016-01-28,130.0,133.4221
287,2016-01-29,130.0,113.0574
288,2016-02-01,130.0,131.9244
289,2016-02-02,130.0,129.0419
290,2016-02-03,130.0,150.5773
291,2016-02-04,130.0,124.8138
292,2016-02-05,130.0,127.5888
293,2016-02-15,130.0,128.7602
294,2016-02-16,130.0,124.6848
295,2016-02-17,130.0,130.4394
296,2016-02-18,130.0,124.7097
297,2016-02-19,130.0,126.9076
298,2016-02-22,130.0,127.8009
299,2016-02-23,130.0,124.4986
300,2016-02-24,130.0,128.7515
301,2016-02-25,130.0,127.035
302,2016-02-26,130.0,113.6036
303,2016-02-29,130.0,109.8717
304,2016-03-01,130.0,122.4349
305,2016-03-02,130.0,100.0761
306,2016-03-03,130.0,133.0783
307,2016-03-04,130.0,111.9993
308,2016-03-07,130.0,118.4749
309,2016-03-08,130.0,127.9802
310,2016-03-09,130.0,126.9241
311,2016-03-10,130.0,125.284
312,2016-03-11,130.0,117.8251
313,2016-03-14,130.0,122.9459
314,2016-03-15,130.0,128.9339
315,2016-03-16,130.0,128.9863
316,2016-03-17,130.0,109.9489
317,2016-03-18,130.0,116.6802
318,2016-03-21,130.0,129.1511
319,2016-03-22,130.0,122.3728
320,2016-03-23,130.0,127.6975
321,2016-03-24,130.0,130.0
322,2016-03-29,130.0,128.5514
323,2016-03-30,130.0,114.3348
324,2016-03-31,130.0,105.0503
325,2016-04-01,130.0,129.7675
